1.000000  0.000000     
0.950000  0.008185     
0.900000  0.018573     
0.850000  0.029938     
0.800000  0.041622     
0.750000  0.053165     
0.700000  0.064190     
0.650000  0.074435     
0.600000  0.083502     
0.550000  0.091104     
0.500000  0.096754     
0.450000  0.099966     
0.400000  0.100731     
0.350000  0.099198     
0.300000  0.095751     
0.250000  0.090386     
0.200000  0.082967     
0.150000  0.073162     
0.100000  0.060282     
0.075000  0.052216     
0.050000  0.042587     
0.025000  0.030249     
0.012500  0.022135     
0.007500  0.017833     
0.005000  0.015085     
0.000000  0.000000     
0.005000 -0.011319
0.007500 -0.014033
0.012500 -0.017993
0.025000 -0.024861
0.050000 -0.034866
0.075000 -0.042551
0.100000 -0.048919
0.150000 -0.058984
0.200000 -0.066541
0.250000 -0.072170
0.300000 -0.076131
0.350000 -0.078517
0.400000 -0.079305
0.450000 -0.078086
0.500000 -0.074690
0.550000 -0.069132
0.600000 -0.061927
0.650000 -0.053592
0.700000 -0.044451
0.750000 -0.034943
0.800000 -0.025381
0.850000 -0.016224
0.900000 -0.008053
0.950000 -0.001801
1.000000  0.000000     
